OpenROAD v2.0-17941-g7fb347f37 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 16 thread(s).
clock_tree_synthesis -sink_clustering_enable -balance_levels
[INFO CTS-0050] Root buffer is CLKBUF_X3.
[INFO CTS-0051] Sink buffer is CLKBUF_X3.
[INFO CTS-0052] The following clock buffers will be used for CTS:
                    CLKBUF_X3
[INFO CTS-0049] Characterization buffer is CLKBUF_X3.
[INFO CTS-0007] Net "clk" found for clock "core_clock".
[INFO CTS-0010]  Clock net "clk" has 35 sinks.
[INFO CTS-0008] TritonCTS found 1 clock nets.
[INFO CTS-0097] Characterization used 1 buffer(s) types.
[INFO CTS-0200] 0 placement blockages have been identified.
[INFO CTS-0201] 0 placed hard macros will be treated like blockages.
[INFO CTS-0027] Generating H-Tree topology for net clk.
[INFO CTS-0028]  Total number of sinks: 35.
[INFO CTS-0090]  Sinks will be clustered based on buffer max cap.
[INFO CTS-0030]  Number of static layers: 0.
[INFO CTS-0020]  Wire segment unit: 14000  dbu (7 um).
[INFO CTS-0023]  Original sink region: [(7410, 7170), (74290, 71260)].
[INFO CTS-0024]  Normalized sink region: [(0.529286, 0.512143), (5.30643, 5.09)].
[INFO CTS-0025]     Width:  4.7771.
[INFO CTS-0026]     Height: 4.5779.
 Level 1
    Direction: Horizontal
    Sinks per sub-region: 18
    Sub-region size: 2.3886 X 4.5779
[INFO CTS-0034]     Segment length (rounded): 1.
 Level 2
    Direction: Vertical
    Sinks per sub-region: 9
    Sub-region size: 2.3886 X 2.2889
[INFO CTS-0034]     Segment length (rounded): 1.
[INFO CTS-0032]  Stop criterion found. Max number of sinks is 15.
[INFO CTS-0035]  Number of sinks covered: 35.
[INFO CTS-0018]     Created 5 clock buffers.
[INFO CTS-0012]     Minimum number of buffers in the clock path: 2.
[INFO CTS-0013]     Maximum number of buffers in the clock path: 2.
[INFO CTS-0015]     Created 5 clock nets.
[INFO CTS-0016]     Fanout distribution for the current clock = 6:1, 8:1, 9:1, 12:1..
[INFO CTS-0017]     Max level of the clock tree: 2.
[INFO CTS-0098] Clock net "clk"
[INFO CTS-0099]  Sinks 38
[INFO CTS-0100]  Leaf buffers 0
[INFO CTS-0101]  Average sink wire length 58.49 um
[INFO CTS-0102]  Path depth 2 - 2
[INFO CTS-0207]  Leaf load cells 3
[INFO RSZ-0058] Using max wire length 640um.
Placement Analysis
---------------------------------
total displacement         12.6 u
average displacement        0.0 u
max displacement            1.8 u
original HPWL            3065.2 u
legalized HPWL           3153.6 u
delta HPWL                    3 %

repair_timing -verbose -setup_margin 0 -hold_margin 0 -repair_tns 100
[INFO RSZ-0094] Found 35 endpoints with setup violations.
[INFO RSZ-0099] Repairing 35 out of 35 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
      390 |       1 |     163 |       81 |      0 |    19 |   -0.054 |       -0.7 |     35 | resp_msg[15]
      394 |       1 |     157 |       79 |      0 |    17 |   -0.052 |       -0.4 |     35 | resp_msg[15]
      400 |       1 |     161 |       81 |      0 |    17 |   -0.054 |       -0.4 |     35 | resp_msg[13]
      410 |       1 |     169 |       83 |      0 |    18 |   -0.053 |       -0.3 |     35 | resp_msg[13]
      420 |       1 |     176 |       83 |      0 |    21 |   -0.052 |       -0.3 |     35 | resp_msg[13]
      425 |       1 |     169 |       83 |      0 |    17 |   -0.052 |       -0.3 |     35 | resp_msg[15]
      430 |       1 |     173 |       83 |      0 |    17 |   -0.052 |       -0.4 |     35 | resp_msg[10]
      439 |       1 |     176 |       83 |      0 |    17 |   -0.052 |       -0.4 |     35 | resp_msg[15]
      440 |       1 |     176 |       83 |      0 |    17 |   -0.052 |       -0.4 |     35 | resp_msg[15]
      450 |       1 |     184 |       83 |      0 |    19 |   -0.052 |       -0.4 |     34 | resp_msg[15]
      450 |       1 |     184 |       83 |      0 |    19 |   -0.052 |       -0.4 |     33 | resp_msg[15]
      452 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     31 | resp_msg[15]
      453 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     30 | resp_msg[15]
      454 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     29 | resp_msg[15]
      455 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     28 | resp_msg[15]
      456 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     27 | resp_msg[15]
      457 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     26 | resp_msg[15]
      458 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     25 | resp_msg[15]
      459 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     24 | resp_msg[15]
      460 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     24 | resp_msg[15]
      460 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     23 | resp_msg[15]
      461 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     22 | resp_msg[15]
      462 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     21 | resp_msg[15]
      463 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     20 | resp_msg[15]
      464 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     19 | resp_msg[15]
      465 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     18 | resp_msg[15]
      466 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     17 | resp_msg[15]
      467 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     16 | resp_msg[15]
      468 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     15 | resp_msg[15]
      469 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     14 | resp_msg[15]
      470 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     14 | resp_msg[15]
      470 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     13 | resp_msg[15]
      471 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     12 | resp_msg[15]
      472 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     11 | resp_msg[15]
      473 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     10 | resp_msg[15]
      474 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |      9 | resp_msg[15]
      475 |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |      8 | resp_msg[15]
     476* |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     10 | resp_msg[15]
     477* |       1 |     185 |       83 |      0 |    19 |   -0.052 |       -0.3 |     10 | resp_msg[15]
     479* |       1 |     186 |       83 |      0 |    19 |   -0.052 |       -0.3 |     10 | resp_msg[15]
     480* |       1 |     186 |       83 |      0 |    19 |   -0.052 |       -0.3 |     10 | resp_msg[15]
     481* |       1 |     187 |       83 |      0 |    19 |   -0.052 |       -0.3 |     10 | resp_msg[15]
     482* |       1 |     187 |       83 |      0 |    19 |   -0.052 |       -0.3 |     10 | resp_msg[15]
     483* |       1 |     187 |       83 |      0 |    19 |   -0.052 |       -0.3 |     10 | resp_msg[15]
     484* |       1 |     187 |       83 |      0 |    19 |   -0.052 |       -0.3 |     10 | resp_msg[15]
     485* |       1 |     187 |       83 |      0 |    19 |   -0.052 |       -0.3 |     10 | resp_msg[15]
     486* |       1 |     187 |       83 |      0 |    19 |   -0.052 |       -0.3 |     10 | resp_msg[15]
     487* |       1 |     187 |       83 |      0 |    19 |   -0.052 |       -0.3 |     10 | resp_msg[15]
    final |       1 |     187 |       83 |      0 |    19 |   -0.052 |       -0.3 |     10 | resp_msg[15]
---------------------------------------------------------------------------------------------------
[INFO RSZ-0059] Removed 1 buffers.
[INFO RSZ-0040] Inserted 30 buffers.
[INFO RSZ-0041] Resized 187 instances.
[INFO RSZ-0043] Swapped pins on 19 instances.
[WARNING RSZ-0062] Unable to repair all setup violations.
[INFO RSZ-0033] No hold violations found.
Placement Analysis
---------------------------------
total displacement        370.7 u
average displacement        0.6 u
max displacement            7.3 u
original HPWL            3213.9 u
legalized HPWL           3560.8 u
delta HPWL                   11 %

Report metrics stage 4, cts final...

==========================================================================
cts final report_design_area
--------------------------------------------------------------------------
Design area 798 u^2 58% utilization.
Elapsed time: 0:03.19[h:]min:sec. CPU time: user 3.04 sys 0.15 (100%). Peak memory: 352920KB.
